antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({0}),frozenset({1397}),1.0,0.96968,0.96968,0.96968,1.0,0.0,1.0
frozenset({1397}),frozenset({0}),0.96968,1.0,0.96968,1.0,1.0,0.0,inf
frozenset({0}),frozenset({502}),1.0,0.797,0.797,0.797,1.0,0.0,1.0
frozenset({502}),frozenset({0}),0.797,1.0,0.797,1.0,1.0,0.0,inf
frozenset({1397}),frozenset({502}),0.96968,0.797,0.7715,0.7956232984077221,0.998272645430015,-0.0013349600000001072,0.9932639015036829
frozenset({502}),frozenset({1397}),0.797,0.96968,0.7715,0.9680050188205771,0.9982726454300151,-0.0013349600000001072,0.947648627450979
"frozenset({0, 1397})",frozenset({502}),0.96968,0.797,0.7715,0.7956232984077221,0.998272645430015,-0.0013349600000001072,0.9932639015036829
"frozenset({0, 502})",frozenset({1397}),0.797,0.96968,0.7715,0.9680050188205771,0.9982726454300151,-0.0013349600000001072,0.947648627450979
"frozenset({1397, 502})",frozenset({0}),0.7715,1.0,0.7715,1.0,1.0,0.0,inf
frozenset({0}),"frozenset({1397, 502})",1.0,0.7715,0.7715,0.7715,1.0,0.0,1.0
frozenset({1397}),"frozenset({0, 502})",0.96968,0.797,0.7715,0.7956232984077221,0.998272645430015,-0.0013349600000001072,0.9932639015036829
frozenset({502}),"frozenset({0, 1397})",0.797,0.96968,0.7715,0.9680050188205771,0.9982726454300151,-0.0013349600000001072,0.947648627450979
frozenset({0}),frozenset({495}),1.0,0.73918,0.73918,0.73918,1.0,0.0,1.0
frozenset({495}),frozenset({0}),0.73918,1.0,0.73918,1.0,1.0,0.0,inf
frozenset({1397}),frozenset({495}),0.96968,0.73918,0.71756,0.7399966999422489,1.0011048728892138,0.00079193760000007,1.0031411137553545
frozenset({495}),frozenset({1397}),0.73918,0.96968,0.71756,0.9707513731432128,1.0011048728892138,0.00079193760000007,1.0366298612395954
frozenset({502}),frozenset({495}),0.797,0.73918,0.5841,0.7328732747804265,0.9914679439113971,-0.005026460000000066,0.9763905119774541
frozenset({495}),frozenset({502}),0.73918,0.797,0.5841,0.7901999512973836,0.9914679439113973,-0.005026460000000066,0.9675879546040753
frozenset({512}),frozenset({495}),0.75308,0.73918,0.5769,0.7660540712806077,1.0363565995841442,0.02023832560000005,1.1148730026109663
frozenset({495}),frozenset({512}),0.73918,0.75308,0.5769,0.7804594280148273,1.0363565995841442,0.02023832560000005,1.1247123835346318
"frozenset({0, 1397})",frozenset({495}),0.96968,0.73918,0.71756,0.7399966999422489,1.0011048728892138,0.00079193760000007,1.0031411137553545
"frozenset({0, 495})",frozenset({1397}),0.73918,0.96968,0.71756,0.9707513731432128,1.0011048728892138,0.00079193760000007,1.0366298612395954
"frozenset({1397, 495})",frozenset({0}),0.71756,1.0,0.71756,1.0,1.0,0.0,inf
frozenset({0}),"frozenset({1397, 495})",1.0,0.71756,0.71756,0.71756,1.0,0.0,1.0
frozenset({1397}),"frozenset({0, 495})",0.96968,0.73918,0.71756,0.7399966999422489,1.0011048728892138,0.00079193760000007,1.0031411137553545
frozenset({495}),"frozenset({0, 1397})",0.73918,0.96968,0.71756,0.9707513731432128,1.0011048728892138,0.00079193760000007,1.0366298612395954
"frozenset({0, 502})",frozenset({495}),0.797,0.73918,0.5841,0.7328732747804265,0.9914679439113971,-0.005026460000000066,0.9763905119774541
